Bee index ,bee colony,task,Trails,Position of stimulus,response (1= correct; 0= incorrect),,
3,1,smaller-than,4,5,1,,
3,1,smaller-than,4,3,1,,
3,1,smaller-than,4,5,1,,
3,1,smaller-than,4,2,0,,
3,1,smaller-than,4,4,0,,
3,1,smaller-than,5,4,1,,
3,1,smaller-than,5,5,0,,
3,1,smaller-than,5,1,0,,
3,1,smaller-than,5,4,1,,
3,1,smaller-than,5,5,0,,
3,1,smaller-than,5,2,1,,
3,1,smaller-than,5,6,0,,
3,1,smaller-than,5,5,0,,
3,1,smaller-than,5,4,1,,
3,1,smaller-than,5,1,0,,
3,1,smaller-than,5,6,0,,
3,1,smaller-than,6,1,1,,
3,1,smaller-than,6,4,1,,
3,1,smaller-than,6,1,1,,
3,1,smaller-than,6,5,0,,
3,1,smaller-than,6,2,1,,
3,1,smaller-than,6,3,0,,
3,1,smaller-than,7,5,1,,
3,1,smaller-than,7,4,1,,
3,1,smaller-than,7,1,0,,
3,1,smaller-than,7,4,1,,
3,1,smaller-than,7,6,1,,
3,1,smaller-than,7,3,0,,
3,1,smaller-than,7,6,1,,
3,1,smaller-than,8,6,0,,
3,1,smaller-than,8,3,1,,
3,1,smaller-than,8,4,0,,
3,1,smaller-than,8,3,1,,
3,1,smaller-than,8,2,1,,
3,1,smaller-than,8,3,1,,
3,1,smaller-than,8,1,1,,
3,1,smaller-than,9,5,1,,
3,1,smaller-than,9,2,1,,
3,1,smaller-than,9,3,1,,
3,1,smaller-than,9,1,0,,
3,1,smaller-than,9,3,1,,
3,1,smaller-than,10,5,0,,
3,1,smaller-than,10,6,0,,
3,1,smaller-than,10,3,1,,
3,1,smaller-than,10,2,0,,
3,1,smaller-than,10,6,0,,
3,1,smaller-than,10,3,1,,
3,1,smaller-than,10,2,0,,
3,1,smaller-than,10,3,1,,
3,1,smaller-than,10,1,1,,
3,1,smaller-than,11,3,0,,
3,1,smaller-than,11,2,1,,
3,1,smaller-than,11,1,0,,
3,1,smaller-than,11,4,1,,
3,1,smaller-than,11,5,1,,
3,1,smaller-than,12,5,1,,
3,1,smaller-than,12,6,0,,
3,1,smaller-than,12,3,1,,
3,1,smaller-than,12,2,0,,
3,1,smaller-than,12,1,1,,
3,1,smaller-than,12,3,1,,
3,1,smaller-than,13,5,1,,
3,1,smaller-than,13,2,1,,
3,1,smaller-than,13,4,0,,
3,1,smaller-than,13,5,1,,
3,1,smaller-than,13,2,1,,
3,1,smaller-than,13,6,1,,
3,1,smaller-than,14,5,1,,
3,1,smaller-than,14,2,0,,
3,1,smaller-than,14,6,1,,
3,1,smaller-than,14,3,0,,
3,1,smaller-than,14,1,1,,
3,1,smaller-than,15,5,1,,
3,1,smaller-than,15,2,0,,
3,1,smaller-than,15,4,0,,
3,1,smaller-than,15,5,1,,
3,1,smaller-than,15,6,0,,
3,1,smaller-than,15,3,1,,
3,1,smaller-than,16,6,1,,
3,1,smaller-than,16,3,0,,
3,1,smaller-than,16,4,1,,
3,1,smaller-than,16,5,0,,
3,1,smaller-than,16,2,1,,
3,1,smaller-than,17,6,0,,
3,1,smaller-than,17,3,1,,
3,1,smaller-than,17,2,1,,
3,1,smaller-than,17,5,0,,
3,1,smaller-than,17,2,1,,
3,1,smaller-than,17,1,1,,
3,1,smaller-than,18,4,1,,
3,1,smaller-than,18,6,0,,
3,1,smaller-than,18,5,0,,
3,1,smaller-than,18,3,1,,
3,1,smaller-than,18,2,0,,
3,1,smaller-than,18,1,1,,
3,1,smaller-than,18,3,1,,
3,1,smaller-than,19,6,1,,
3,1,smaller-than,19,5,1,,
3,1,smaller-than,19,4,1,,
3,1,smaller-than,20,5,1,,
3,1,smaller-than,20,4,0,,
3,1,smaller-than,20,1,1,,
3,1,smaller-than,20,4,0,,
3,1,smaller-than,20,5,1,,
3,1,smaller-than,20,6,1,,
3,1,smaller-than,21,5,0,,
3,1,smaller-than,21,2,0,,
3,1,smaller-than,21,6,1,,
3,1,smaller-than,21,5,0,,
3,1,smaller-than,21,2,0,,
3,1,smaller-than,21,3,1,,
3,1,smaller-than,21,2,0,,
3,1,smaller-than,21,5,0,,
3,1,smaller-than,21,6,1,,
3,1,smaller-than,21,3,1,,
3,1,smaller-than,22,5,1,,
3,1,smaller-than,22,4,0,,
3,1,smaller-than,22,2,1,,
3,1,smaller-than,22,5,1,,
3,1,smaller-than,22,6,1,,
3,1,smaller-than,22,3,0,,
3,1,smaller-than,22,6,1,,
3,1,smaller-than,22,5,1,,
3,1,smaller-than,23,4,1,,
3,1,smaller-than,23,2,1,,
3,1,smaller-than,23,6,0,,
3,1,smaller-than,23,3,1,,
3,1,smaller-than,24,5,0,,
3,1,smaller-than,24,2,1,,
3,1,smaller-than,24,4,0,,
3,1,smaller-than,24,5,0,,
3,1,smaller-than,24,2,1,,
3,1,smaller-than,24,3,1,,
3,1,smaller-than,24,5,0,,
3,1,smaller-than,24,2,1,,
3,1,smaller-than,24,1,1,,
3,1,smaller-than,25,6,1,,
3,1,smaller-than,25,5,1,,
3,1,smaller-than,25,2,0,,
3,1,smaller-than,25,6,1,,
3,1,smaller-than,25,5,1,,
3,1,smaller-than,25,3,0,,
3,1,smaller-than,25,6,1,,
3,1,smaller-than,25,1,1,,
3,1,smaller-than,26,5,0,,
3,1,smaller-than,26,6,1,,
3,1,smaller-than,26,3,0,,
3,1,smaller-than,26,2,1,,
3,1,smaller-than,26,4,1,,
3,1,smaller-than,27,5,1,,
3,1,smaller-than,27,1,0,,
3,1,smaller-than,27,6,1,,
3,1,smaller-than,27,4,0,,
3,1,smaller-than,27,5,1,,
3,1,smaller-than,27,6,1,,
3,1,smaller-than,27,5,1,,
3,1,smaller-than,27,6,1,,
3,1,smaller-than,27,2,1,,
3,1,smaller-than,28,6,0,,
3,1,smaller-than,28,3,1,,
3,1,smaller-than,28,2,1,,
3,1,smaller-than,28,6,0,,
3,1,smaller-than,28,3,1,,
3,1,smaller-than,28,2,1,,
3,1,smaller-than,28,1,1,,
3,1,smaller-than,29,5,0,,
3,1,smaller-than,29,4,1,,
3,1,smaller-than,29,1,0,,
3,1,smaller-than,29,4,1,,
3,1,smaller-than,29,6,1,,
3,1,smaller-than,29,5,0,,
3,1,smaller-than,29,6,1,,
3,1,smaller-than,30,4,1,,
3,1,smaller-than,30,2,1,,
3,1,smaller-than,30,1,1,,
3,1,smaller-than,30,4,1,,
3,1,smaller-than,30,2,1,,
3,1,smaller-than,30,1,1,,
3,1,smaller-than,30,4,1,,
4,1,smaller-than,1,6,1,,
4,1,smaller-than,1,5,0,,
4,1,smaller-than,1,1,1,,
4,1,smaller-than,1,2,0,,
4,1,smaller-than,2,6,1,,
4,1,smaller-than,2,3,0,,
4,1,smaller-than,2,2,1,,
4,1,smaller-than,2,1,0,,
