,language_name,latitude,longitude,genus,family,1A,2A,3A,4A,5A,6A,7A,8A,10A,11A,12A,13A,18A,19A,9A,20A,21A,21B,26A,28A,29A,14A,15A,16A,22A,23A,24A,25A,25B,27A,17A,10B
zun,Zuni,35.0833333333,-108.833333333,Zuni,Zuni,"{'value': 3, 'description': 'Average'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 3, 'description': 'Average'}","{'value': 1, 'description': 'No voicing contrast'}","{'value': 1, 'description': 'Other'}","{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Ejectives only'}","{'value': 4, 'description': '/l/ and lateral obstruent'}",,"{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 1, 'description': 'No tones'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'No velar nasal'}",,,,,,,"{'value': 2, 'description': 'Initial'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 1, 'description': 'No weight'}",,"{'value': 3, 'description': 'Double marking'}","{'value': 1, 'description': 'Head marking'}","{'value': 5, 'description': 'Inconsistent or other'}","{'value': 2, 'description': 'Non-zero marking'}","{'value': 3, 'description': 'No productive reduplication'}",,
mak,Makah,48.3333333333,-124.666666667,Southern Wakashan,Wakashan,,"{'value': 2, 'description': 'Average (5-6)'}","{'value': 5, 'description': 'High'}","{'value': 2, 'description': 'In plosives alone'}","{'value': 4, 'description': 'Missing /g/'}","{'value': 4, 'description': 'Uvular stops and continuants'}","{'value': 2, 'description': 'Ejectives only'}","{'value': 4, 'description': '/l/ and lateral obstruent'}",,"{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'Complex'}","{'value': 1, 'description': 'No tones'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 1, 'description': 'Little affixation'}",,,"{'value': 1, 'description': 'No fixed stress'}","{'value': 1, 'description': 'Left-edge: First or second'}","{'value': 2, 'description': 'Long vowel'}",,,,,,,,
ngi,Ngiyambaa,-31.75,145.5,Southeastern Pama-Nyungan,Pama-Nyungan,,"{'value': 1, 'description': 'Small (2-4)'}","{'value': 4, 'description': 'Moderately high'}","{'value': 1, 'description': 'No voicing contrast'}","{'value': 1, 'description': 'Other'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}","{'value': 2, 'description': 'Contrast absent'}","{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 1, 'description': 'No tones'}","{'value': 1, 'description': 'All present'}","{'value': 5, 'description': ""'Th' sounds""}","{'value': 1, 'description': 'Initial velar nasal'}","{'value': 1, 'description': 'Exclusively concatenative'}","{'value': 1, 'description': 'Monoexponential case'}","{'value': 1, 'description': 'monoexponential TAM'}","{'value': 2, 'description': 'Strongly suffixing'}","{'value': 3, 'description': 'Core and non-core'}","{'value': 1, 'description': 'No subject person/number marking'}","{'value': 1, 'description': 'No fixed stress'}","{'value': 5, 'description': 'Unbounded: Stress can be anywhere'}","{'value': 2, 'description': 'Long vowel'}","{'value': 3, 'description': '4-5 categories per word'}","{'value': 2, 'description': 'Dependent marking'}","{'value': 2, 'description': 'Dependent marking'}","{'value': 2, 'description': 'Dependent-marking'}","{'value': 2, 'description': 'Non-zero marking'}","{'value': 1, 'description': 'Productive full and partial reduplication'}","{'value': 1, 'description': 'Trochaic'}",
tas,Tashlhiyt,31.0,-5.0,Berber,Afro-Asiatic,,"{'value': 1, 'description': 'Small (2-4)'}","{'value': 5, 'description': 'High'}","{'value': 4, 'description': 'In both plosives and fricatives'}","{'value': 3, 'description': 'Missing /p/'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'Complex'}","{'value': 1, 'description': 'No tones'}","{'value': 1, 'description': 'All present'}","{'value': 4, 'description': 'Pharyngeals'}","{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 5, 'description': 'Weakly prefixing'}",,,"{'value': 7, 'description': 'Ultimate'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 1, 'description': 'No weight'}",,,,,,,"{'value': 5, 'description': 'No rhythmic stress'}",
wao,Waorani,-1.0,-76.5,Waorani,Waorani,,"{'value': 2, 'description': 'Average (5-6)'}","{'value': 2, 'description': 'Moderately low'}","{'value': 2, 'description': 'In plosives alone'}","{'value': 2, 'description': 'None missing in /p t k b d g/'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 1, 'description': 'No laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'Simple'}","{'value': 1, 'description': 'No tones'}","{'value': 3, 'description': 'No fricatives'}","{'value': 1, 'description': 'Nan'}",,,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,"{'value': 2, 'description': 'Initial'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 1, 'description': 'No weight'}",,"{'value': 4, 'description': 'No marking'}","{'value': 4, 'description': 'No marking'}","{'value': 5, 'description': 'Inconsistent or other'}","{'value': 2, 'description': 'Non-zero marking'}",,"{'value': 1, 'description': 'Trochaic'}",
apk,A-Pucikwar,12.1666666667,92.8333333333,Great Andamanese,Great Andamanese,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
abz,Abaza,44.0,42.0,Northwest Caucasian,Northwest Caucasian,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
ady,Adyghe (Abzakh),45.2333333333,40.5833333333,Northwest Caucasian,Northwest Caucasian,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
agu,Aguacatec,15.4166666667,-91.3333333333,Mayan,Mayan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,"{'value': 1, 'description': 'No fixed stress'}","{'value': 5, 'description': 'Unbounded: Stress can be anywhere'}","{'value': 2, 'description': 'Long vowel'}",,,,,,,"{'value': 5, 'description': 'No rhythmic stress'}",
agr,Aguaruna,-5.0,-78.0,Jivaroan,Jivaroan,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,,,,,,,,,,,
akb,Aka-Biada,11.6666666667,92.5,Great Andamanese,Great Andamanese,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
akc,Aka-Cari,13.5,93.0,Great Andamanese,Great Andamanese,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
akk,Aka-Kede,12.75,92.75,Great Andamanese,Great Andamanese,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
axv,Akhvakh,42.3333333333,46.3333333333,Avar-Andic-Tsezic,Nakh-Daghestanian,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
ale,Aleut,54.0,-166.0,Aleut,Eskimo-Aleut,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
aso,Altai (Southern),51.0,87.0,Turkic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,,,,,,,,,,,
aln,Alune,-3.0,128.333333333,Central Malayo-Polynesian,Austronesian,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 4, 'description': 'Equal prefixing and suffixing'}",,,"{'value': 6, 'description': 'Penultimate'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 1, 'description': 'No weight'}",,,,,,,"{'value': 5, 'description': 'No rhythmic stress'}",
alu,Alutor,61.0,165.0,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
amn,Amanab,-3.58333333333,141.25,Border,Border,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
amr,Arabic (Moroccan),34.0,-6.0,Semitic,Afro-Asiatic,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 3, 'description': 'Weakly suffixing'}",,,,,,,,,,,,,
aho,Arapaho,40.0,-103.0,Algonquian,Algic,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
ats,Atsugewi,40.75,-121.0,Atsugewi,Hokan,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,,,,,,,,,,,
bgv,Bagvalal,42.5833333333,46.1666666667,Avar-Andic-Tsezic,Nakh-Daghestanian,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,"{'value': 1, 'description': 'No fixed stress'}","{'value': 3, 'description': 'Right-edge: Ultimate or penultimate'}","{'value': 7, 'description': 'Combined'}",,,,,,,"{'value': 5, 'description': 'No rhythmic stress'}",
blc,Baluchi,28.0,62.0,Iranian,Indo-European,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
bnj,Bandjalang,-28.75,153.0,Southeastern Pama-Nyungan,Pama-Nyungan,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}","{'value': 1, 'description': 'Exclusively concatenative'}","{'value': 1, 'description': 'Monoexponential case'}","{'value': 1, 'description': 'monoexponential TAM'}","{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}",,
bao,Bao'an,35.75,102.833333333333,Mongolic,Altaic,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
brs,Barasano,-0.166666666667,-70.6666666667,Tucanoan,Tucanoan,,,,,,,,,"{'value': 1, 'description': 'Contrast present'}",,,,,,"{'value': 3, 'description': 'No velar nasal'}","{'value': 1, 'description': 'Exclusively concatenative'}","{'value': 1, 'description': 'Monoexponential case'}","{'value': 1, 'description': 'monoexponential TAM'}","{'value': 2, 'description': 'Strongly suffixing'}","{'value': 1, 'description': 'No case marking'}","{'value': 3, 'description': 'Not syncretic'}",,,,"{'value': 3, 'description': '4-5 categories per word'}","{'value': 3, 'description': 'Double marking'}","{'value': 1, 'description': 'Head marking'}","{'value': 5, 'description': 'Inconsistent or other'}","{'value': 2, 'description': 'Non-zero marking'}","{'value': 3, 'description': 'No productive reduplication'}",,
bth,Bathari,18.0,56.0,Semitic,Afro-Asiatic,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
bez,Bezhta,42.0833333333,46.1666666667,Avar-Andic-Tsezic,Nakh-Daghestanian,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
bla,Blackfoot,50.0,-112.666666667,Algonquian,Algic,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 5, 'description': 'Weakly prefixing'}",,,,,,,,,,,,,
bor,Bora,-2.16666666667,-72.3333333333,Boran,Boran,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
bdk,Budukh,41.1666666667,48.4166666667,Lezgic,Nakh-Daghestanian,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
ghr,Bunan,32.5,77.0,Bodic,Sino-Tibetan,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
but,Buriat,52.0,108.0,Mongolic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
crj,Carijona,1.0,-73.0,Cariban,Cariban,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
cas,Cashibo,-8.5,-75.5,Panoan,Pano-Tacanan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
cav,Cavineña,-13.3333333333,-66.5,Tacanan,Pano-Tacanan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,"{'value': 6, 'description': 'Penultimate'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 1, 'description': 'No weight'}",,,,,,,"{'value': 1, 'description': 'Trochaic'}",
chh,Chaha,8.112935,37.93267,Semitic,Afro-Asiatic,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 4, 'description': 'Equal prefixing and suffixing'}",,,,,,,,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}",,
chm,Chamalal,42.55,46.05,Avar-Andic-Tsezic,Nakh-Daghestanian,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
cht,Chatino (Nopala),16.0833333333,-97.1666666667,Zapotecan,Oto-Manguean,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
chc,Chechen,43.25,45.8333333333,Nakh,Nakh-Daghestanian,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
ckh,Cheke Holo,-8.33333333333,159.666666667,Oceanic,Austronesian,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
cmk,Chemakum,48.0833333333,-122.916666667,Chimakuan,Chimakuan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}",,
cmh,Chemehuevi,34.3333333333,-115.166666667,Northern Uto-Aztecan,Uto-Aztecan,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
chi,Chimariko,41.0,-123.0,Chimariko,Hokan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 3, 'description': 'Weakly suffixing'}",,,,,,,,,,,,,
ccm,Chinantec (Comaltepec),17.5833333333,-96.4166666667,Chinantecan,Oto-Manguean,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,"{'value': 6, 'description': 'Strong prefixing'}",,,,,,,,,,,,,
csc,Chinantec (Sochiapan),17.75,-96.6666666667,Chinantecan,Oto-Manguean,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
cct,Choctaw,32.25,-88.5,Muskogean,Muskogean,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 4, 'description': 'Equal prefixing and suffixing'}",,,"{'value': 1, 'description': 'No fixed stress'}","{'value': 5, 'description': 'Unbounded: Stress can be anywhere'}","{'value': 4, 'description': 'Long vowel or coda consonant'}",,,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}","{'value': 2, 'description': 'Iambic'}",
cmy,Chontal Maya,18.1666666667,-92.5833333333,Mayan,Mayan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
chr,Chrau,10.75,107.5,Bahnaric,Austro-Asiatic,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,"{'value': 1, 'description': 'Little affixation'}",,,,,,,,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}",,
cly,Chulym,54.3333333333,89.6666666667,Turkic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,,,,,,,,,,,
cla,Clallam,48.0833333333,-123.75,Central Salish,Salishan,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}",,
cor,Cora,22.1666666667,-104.833333333,Corachol,Uto-Aztecan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
cri,Crimean Tatar,45.0,34.0833333333,Turkic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,,,,,,,,,,,
cui,Cuiba,6.5,-70.0,Guahiban,Guahiban,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
dol,Dolgan,71.25,98.0,Turkic,Altaic,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
eip,Eipo,-4.33333333333,140.083333333,Mek,Trans-New Guinea,,,,,,,,,"{'value': 2, 'description': 'Contrast absent'}",,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
emb,Emberá (Northern),6.83333333333,-77.1666666667,Choco,Choco,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
ene,Enets,67.5,86.5,Samoyedic,Uralic,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
ena,Enga,-5.5,143.666666667,Enga_Kewa-Huli,Trans-New Guinea,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
ese,Ese Ejja,-11.0,-66.0,Tacanan,Pano-Tacanan,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,"{'value': 1, 'description': 'Little affixation'}",,,"{'value': 6, 'description': 'Penultimate'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 1, 'description': 'No weight'}",,,,,,,"{'value': 1, 'description': 'Trochaic'}",
ess,Esselen,36.25,-121.75,Esselen,Esselen,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
ets,Etsako,7.25,6.5,Edoid,Niger-Congo,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
frd,Fordata,-6.75,131.5,Central Malayo-Polynesian,Austronesian,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,"{'value': 6, 'description': 'Penultimate'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 1, 'description': 'No weight'}",,,,,,,,
fut,Futuna-Aniwa,-19.5333333333,170.216666667,Oceanic,Austronesian,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,"{'value': 1, 'description': 'Little affixation'}",,,,,,,,,,,,,
gag,Gagauz,46.3333333333,28.6666666667,Turkic,Altaic,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
gll,Galela,2.41666666667,128.333333333,North Halmaheran,North Halmaheran,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,"{'value': 6, 'description': 'Penultimate'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 1, 'description': 'No weight'}",,,,,,,"{'value': 5, 'description': 'No rhythmic stress'}",
gap,Gapapaiwa,-9.75,149.833333333,Oceanic,Austronesian,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
grf,Garífuna,15.6666666667,-88.0,Antillean Arawakan,Arawakan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
gav,Gavião,-10.6666666667,-62.0,Monde,Tupian,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
god,Godoberi,42.6666666667,46.0833333333,Avar-Andic-Tsezic,Nakh-Daghestanian,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,"{'value': 1, 'description': 'No fixed stress'}","{'value': 5, 'description': 'Unbounded: Stress can be anywhere'}","{'value': 5, 'description': 'Prominence'}",,,,,,,"{'value': 5, 'description': 'No rhythmic stress'}",
guq,Guaque,1.0,-72.0833333333,Cariban,Cariban,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
gto,Guató,-17.0,-58.0,Guató,Guató,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
guj,Gujarati,23.0,72.0,Indic,Indo-European,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,"{'value': 1, 'description': 'No fixed stress'}","{'value': 3, 'description': 'Right-edge: Ultimate or penultimate'}","{'value': 5, 'description': 'Prominence'}",,,,,,,,
hal,Halia,-5.25,154.666666667,Oceanic,Austronesian,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
hrs,Harsusi,20.0,56.5,Semitic,Afro-Asiatic,,,,,,,,,"{'value': 2, 'description': 'Contrast absent'}",,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
hav,Havasupai,35.75,-112.5,Yuman,Hokan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
heb,Hebrew (Modern),31.5,34.8333333333,Semitic,Afro-Asiatic,,,,,,,,,"{'value': 2, 'description': 'Contrast absent'}",,,,,,"{'value': 3, 'description': 'No velar nasal'}","{'value': 6, 'description': 'Ablaut/concatenative'}","{'value': 5, 'description': 'No case'}","{'value': 3, 'description': 'TAM+agreement+diathesis'}","{'value': 3, 'description': 'Weakly suffixing'}","{'value': 1, 'description': 'No case marking'}","{'value': 2, 'description': 'Syncretic'}","{'value': 7, 'description': 'Ultimate'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 1, 'description': 'No weight'}","{'value': 3, 'description': '4-5 categories per word'}","{'value': 2, 'description': 'Dependent marking'}","{'value': 2, 'description': 'Dependent marking'}","{'value': 5, 'description': 'Inconsistent or other'}","{'value': 2, 'description': 'Non-zero marking'}","{'value': 1, 'description': 'Productive full and partial reduplication'}","{'value': 1, 'description': 'Trochaic'}",
hia,Hianacoto,0.833333333333,-71.0,Cariban,Cariban,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
hid,Hidatsa,47.0,-102.5,Missouri River Siouan,Siouan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
hnk,Hinuq,42.1666666667,46.0,Avar-Andic-Tsezic,Nakh-Daghestanian,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
hlp,Hualapai,35.5,-113.75,Yuman,Hokan,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,"{'value': 3, 'description': 'Weakly suffixing'}",,,,,,,,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}",,
hmi,Huitoto (Minica),-0.333333333333,-74.0,Witoto,Witotoan,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}","{'value': 4, 'description': 'No syncretism'}","{'value': 3, 'description': 'Not syncretic'}",,,,,,,,,,,
hpd,Hup,0.166666666667,-69.25,Nadahup,Nadahup,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
iql,Inuktitut (Quebec-Labrador),62.0,-73.0,Eskimo,Eskimo-Aleut,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,,,,,,,,,,,
iri,Irish,53.0,-8.0,Celtic,Indo-European,,,,,,,,,"{'value': 2, 'description': 'Contrast absent'}",,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,"{'value': 4, 'description': 'Equal prefixing and suffixing'}","{'value': 3, 'description': 'Core and non-core'}","{'value': 2, 'description': 'Syncretic'}","{'value': 2, 'description': 'Initial'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 2, 'description': 'Long vowel'}",,,,,,"{'value': 3, 'description': 'No productive reduplication'}","{'value': 4, 'description': 'Undetermined'}",
ixi,Ixil,15.5,-91.0,Mayan,Mayan,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
jbt,Jabutí,-12.25,-62.25,Jabutí,Macro-Ge,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
jib,Jibbali,17.5,55.0,Semitic,Afro-Asiatic,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
jmo,Jur Mödö,6.0,30.0,Bongo-Bagirmi,Central Sudanic,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,"{'value': 1, 'description': 'Little affixation'}",,,,,,,,,,,,,
jur,Jurchen,47.0,130.0,Tungusic,Altaic,,,,,,,,,,,,,,,"{'value': 1, 'description': 'Initial velar nasal'}",,,,,,,,,,,,,,,,,
jrn,Juruna,-5.0,-54.5,Yuruna,Tupian,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
kmk,Kalmyk,44.0,83.0,Mongolic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
kiq,Kalmyk (Issyk-Kul),42.4166666667,78.3333333333,Mongolic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,,,,,,,,,,,
krc,Karachay-Balkar,43.5,42.0,Turkic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
krm,Karaim,54.6666666667,24.9166666667,Turkic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,,,,,,,,,,,,,,
jva,Karajá,-10.0,-50.3333333333,Karajá,Macro-Ge,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
kkp,Karakalpak,43.0,60.0,Turkic,Altaic,,,,,,,,,,,,,,,"{'value': 2, 'description': 'No initial velar nasal'}",,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
krt,Karata,42.5833333333,46.3333333333,Avar-Andic-Tsezic,Nakh-Daghestanian,,,,,,,,,,,,,,,"{'value': 3, 'description': 'No velar nasal'}",,,,,,,,,,,,,,,,,
